dep_struct,%of_total,count
V_prt_dobj_prep_prep,2.4504698775990296e-05,2
nsubj_V_prep_prep_prep_prep,2.4504698775990296e-05,2
prep_nsubj_V_dobj_prt_prep,2.4504698775990296e-05,2
nsubj_nsubj_V_prt,2.4504698775990296e-05,2
prep_V_prt_prep,2.4504698775990296e-05,2
nsubj_V_prep_ccomp_ccomp,2.4504698775990296e-05,2
dobj_nsubj_nsubj_V,2.4504698775990296e-05,2
ccomp_V_prt_ccomp,2.4504698775990296e-05,2
V_xcomp_prep_prep,2.4504698775990296e-05,2
ccomp_ccomp_ccomp_nsubj_V_prep,2.4504698775990296e-05,2
nsubj_V_ccomp_ccomp_prep,2.4504698775990296e-05,2
ccomp_nsubj_V_ccomp_prep,2.4504698775990296e-05,2
prep_nsubj_V_xcomp_prep,2.4504698775990296e-05,2
ccomp_ccomp_ccomp_nsubj_V_dobj,2.4504698775990296e-05,2
prep_prep_nsubj_V_prep,2.4504698775990296e-05,2
ccomp_nsubj_V_prep_prep_prep,2.4504698775990296e-05,2
dobj_V_ccomp,2.4504698775990296e-05,2
V_dobj_xcomp_ccomp,2.4504698775990296e-05,2
ccomp_nsubj_V_prt_ccomp,2.4504698775990296e-05,2
nsubj_V_dobj_dobj_xcomp,2.4504698775990296e-05,2
pobj_nsubj_V_xcomp,2.4504698775990296e-05,2
nsubj_V_dobj_xcomp_xcomp,2.4504698775990296e-05,2
V_prt_xcomp_prep,2.4504698775990296e-05,2
nsubj_V_dobj_xcomp_ccomp,2.4504698775990296e-05,2
nsubj_nsubj_V_prt_prep,2.4504698775990296e-05,2
V_xcomp_prt,2.4504698775990296e-05,2
nsubj_V_prt_dobj_dobj,2.4504698775990296e-05,2
prep_nsubj_V_prt,2.4504698775990296e-05,2
nsubj_V_xcomp_prep_prep,2.4504698775990296e-05,2
V_ccomp_nsubj,2.4504698775990296e-05,2
ccomp_nsubj_V_prt_dobj,2.4504698775990296e-05,2
V_dobj_dobj_ccomp,2.4504698775990296e-05,2
nsubj_nsubj_V_dobj_prep,2.4504698775990296e-05,2
V_dative_dobj_xcomp,2.4504698775990296e-05,2
nsubj_prep_V_dobj_xcomp,2.4504698775990296e-05,2
prep_nsubj_V_prep_prep_prep,2.4504698775990296e-05,2
V_dative_dobj_ccomp,2.4504698775990296e-05,2
